index,audio,avg_prob,type,text,text_ts,human_verified
576,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/X2l-vaKoIBE/2720820.mp3,-0.08909867595260341,term,"Вопросов нету, по крайней мере мне они сюда не поступают. Спасибо всем, кто присутствовал на вебинаре. Ждем вас на следующих двух наших вебинарах.","<|0.02|> Как я говорю, вопросов нету, по крайней мере, мне они сюда<|9.32|><|9.32|> не поступают.<|10.16|><|12.16|> Спасибо всем, кто присутствовал на вебинаре.<|15.18|><|16.56|> Ждем вас на следующих двух наших вебинарах.<|19.72|>",False
1010,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/YSKJxaTai8o/3739720.mp3,-0.08817395446822048,term,"А дальше это будет влиять на остальные процессы. Мы перебили вас. Нет, я хотел сказать, с мультифазными расходомерами у меня есть опыт работы. Там не получится так. Вот мы поставили эту технологию, она на самом пассе сработает. У нас вот такое было на западной Курне-2. Там проблема была с замером газового фактора. Правда, мы ее другим методом обошли.","<|0.00|> А дальше это будет влиять на остальные процессы, да?<|3.20|><|3.22|> Процессы, да.<|3.82|><|4.84|> Мы перебили вас.<|5.88|><|6.14|> Нет, ничего.<|6.70|><|6.84|> Я вот, кстати, хотел сказать, нет, вот с мультифазными расходомерами<|10.88|><|10.88|> у меня есть опыт работы, да?<|12.82|><|13.28|> То есть, там, вы знаете, там не получится так, вот мы<|16.14|><|16.14|> поставили эту технологию, она сам по себе сработает.<|19.26|><|19.42|> Да.<|19.58|><|19.98|> У нас вот такое было на западной Курне-2.<|21.88|><|22.58|> То есть, там проблема была с замером как бы газового фактора,<|25.18|><|25.18|> правда, мы ее другим методом обошли.<|27.42|>",False
792,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/UExih7oWg4E/2082250.mp3,-0.08808905365211624,term,"- это был, наверное, относительно выгодный дешевт. Для тех, кто туда вкладывался, наверное, дешевт был невыгодный. Сейчас отрасль гораздо более зрелая, сейчас люди гораздо лучше понимают горизонты роста, отрасль консолидирована, гораздо больше сланцевой нефти добывается 5-7 крупнейшими компаниями.","<|0.00|> относительно выгодный гешефт.<|2.92|><|3.52|> Для тех, кто туда вкладывался, наверное, гешефт был невыгодный.<|7.20|><|8.12|> Сейчас отрасль гораздо более зрелая, сейчас люди гораздо<|12.56|><|12.56|> лучше понимают горизонты роста, отрасль консолидирована,<|17.16|><|17.16|> гораздо больше сланцевой нефти добывается там 5-7 крупнейшими<|22.84|><|22.84|> компаниями.<|24.40|>",False
673,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/t0ov4FfyNR0/2709640.mp3,-0.08617467060685158,term,"еще более мелкой. Значит, что для этого нужно сделать? Да, нужно пробурить скважину. Опять из-за разницы давления все это поднимается. Но может подниматься, если этот газ может выйти из этих пор. Если не может выйти, то используются тоже специальные технологии, которые тоже называются гидроразрыв, только уже не нефтяных, а газовых пластов. Создается трещина, эти трещины нарушают вот эту мелкую, мелкие поры, оттуда газ уже можно добывать. Ну вот я, может быть, совсем примитивный вопрос задам. Да.","<|0.00|> еще более мелкой.<|0.82|><|1.94|> Значит, что для этого нужно сделать?<|3.34|><|3.42|> Да, нужно пробурить скважину,<|4.46|><|4.54|> опять из-за разницы давления<|5.66|><|5.66|> все это поднимается,<|6.52|><|7.26|> но может подниматься,<|8.18|><|8.28|> если газ может выйти из этих пор.<|9.86|><|10.26|> Если не может выйти,<|11.70|><|11.76|> то используются тоже<|12.50|><|12.50|> специальные технологии,<|13.52|><|14.08|> которые тоже называются<|15.28|><|15.28|> гидроразрыв,<|15.88|><|15.98|> только уже не нефтяных,<|17.02|><|17.08|> а газовых пластов.<|18.00|><|18.80|> Создается трещина,<|19.90|><|20.08|> эти трещины нарушают<|21.38|><|21.38|> вот эту мелкую,<|23.04|><|23.60|> мелкие поры,<|24.24|><|24.30|> оттуда газ уже можно добывать.<|25.54|><|26.06|> Ну, вот я, может быть,<|27.18|><|27.18|> совсем примитивный вопрос задам,<|29.06|>",False
785,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/UExih7oWg4E/1879900.mp3,-0.08564289928310448,noise,"Танкеры на каждом передаче все в реальном времени отслеживается. А во-вторых, картелям из четырех-пяти стран управлять гораздо проще, у них действительно гораздо более коллинеарные интересы и, соответственно, они договариваются. Момент, когда ОПЕК развалится, несомненно, настанет. Когда закат нефтяной эры будет совсем виден, совсем близко виден, тогда у каждого из этих игроков будет","<|0.00|> Танкеры на каждом передатчик, все в реальном времени отслеживается.<|4.74|><|5.50|> А во-вторых, ну, картелям из 4-5 стран управлять гораздо<|9.90|><|9.90|> проще.<|10.48|><|11.20|> У них действительно гораздо более коллинеарные интересы и,<|13.32|><|13.32|> соответственно, они договариваются.<|15.40|><|16.36|> Момент, когда ОПЕК развалится, несомненно, настанет.<|20.24|><|20.44|> Вот когда закат нефтяной эры будет совсем виден, вот совсем<|25.00|><|25.00|> близко виден, да, вот тогда у каждого из этих игроков будет<|29.08|>",False
11,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/WfcldGf1Xoc/84100.mp3,-0.08488175376421875,term,"В этих условиях система законтурного заводнения позволяет наиболее полно выработать запасы и вытеснить нефть к центральной возвышенной части пласта, к так называемому встягивающему ряду добывающих скважин или к одной скважине. Законтурное заводнение имеет и недостатки. К их числу можно отнести повышенный расход энергии на свечении нефти, так как нагнетаемой воде приходится преодолевать фильтрационные изменения.","<|0.00|> В этих условиях система законтурного заводнения позволяет<|3.64|><|3.64|> наиболее полно выработать запасы и вытеснить нефть к центральной<|7.90|><|7.90|> возвышенной части пласта,<|9.52|><|9.52|> к так называемому стягивающему ряду добывающих скважин или<|13.68|><|13.68|> к одной скважине.<|15.22|><|15.86|> Законтурное заводнение имеет и недостатки.<|18.50|><|19.08|> К их числу можно отнести повышенный расход энергии на свечении<|22.60|><|22.60|> нефти,<|23.22|><|23.82|> так как нагнетаемой воде приходится преодолевать фильтрационное<|27.20|>",False
877,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/YSKJxaTai8o/26800.mp3,-0.08465727215322355,term,"озвучу так, что сейчас первое место занимает по добыче по всему миру это США, да? То есть, ну, благодаря технологии, опять же, горизонтального бурения и технологии ГРП, да? Ну, многосоединительный ГРП. Давайте вот подробнее обсудим. Я сейчас просто цифры приведу. ГРП, благодаря ГРП США мог увеличить добычу в 7 раз. Начиная с 2008 года.","<|0.00|> Озвучу так, что сейчас первое место занимает по добыче по<|3.44|><|3.44|> всему миру это США.<|4.78|><|4.78|> То есть, благодаря технологии, опять же, горизонтального бурения<|9.82|><|9.82|> и технологии ГРП.<|11.72|><|11.98|> Ну, многостандийный ГРП.<|14.10|><|15.04|> Давайте вот подробнее обсудим.<|16.82|><|18.00|> Я сейчас просто цифры приведу.<|19.60|><|19.96|> ГРП, благодаря ГРП США мог увеличить добычу в 7 раз.<|26.94|><|27.98|> Начиная с 2008 года.<|29.46|>",False
1019,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/YSKJxaTai8o/3998080.mp3,-0.0845503547990864,term,И когда ты вышел на эту полку В принципе тебе этих данных достаточно Ты можешь скважину открывать И то есть я делал это И ты экономишь компании время Быстрее демобилизуешь подрядчика Если ты делаешь с кабельной станцией А если у тебя есть датчик Ты быстрее скважину запускаешь в эксплуатацию Уменьшаете простой То есть вот как технология-то помогает,"<|0.84|> И когда ты вышел на эту полку, в принципе, тебе этих данных<|3.36|><|3.36|> достаточно, ты можешь скважину открывать.<|5.52|><|6.26|> И то есть, я делал это, да, это как бы…<|8.76|><|8.76|> И ты экономишь компании время, быстрее там демобилизуешь<|13.04|><|13.04|> подрядчика, если ты делаешь с кабельной станцией.<|16.52|><|16.66|> А если у тебя есть датчик, ты быстрее скважину запускаешь в<|19.76|><|19.76|> эксплуатацию.<|20.80|><|20.82|> Уменьшаете простой, да?<|21.86|><|21.88|> Уменьшаешь простой, да.<|22.78|><|23.16|> То есть, вот как технология-то помогает.<|24.78|>",False
322,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/EiFc1LMtrsY/1134800.mp3,-0.08439981751143932,term,"достаточно похожие, скажем так, распределение по процессу. Все процессы разделяются по своей сложности, то есть по сложности аппаратурного оформления и по сложности процессов, которые там протекают. Наименее сложный процесс - это первичная переработка нефти, которая представляет собой простую перегонку - разделение по фракциям, по температурам. Наиболее сложные процессы - это каталитические процессы,","<|0.00|> достаточно похожее, скажем так, распределение по процессам.<|3.84|><|5.98|> Все процессы разделяются по своей сложности, то есть по<|10.78|><|10.78|> сложности аппаратурного оформления и по сложности процессов,<|15.04|><|15.04|> которые там протекают.<|16.36|><|17.06|> Наименее сложный процесс – это первичная переработка нефти,<|19.34|><|19.34|> которая представляет собой простую перегонку, разделение по<|22.52|><|22.52|> фракциям, по температурам.<|24.02|><|24.58|> Наиболее сложные процессы – это каталитические процессы,<|27.76|>",False
304,/workspace/datasets/whisper_prep_dataset/train/created_dataset/dump/EiFc1LMtrsY/627370.mp3,-0.08423642876247565,term,"Температура вспышки, которая характеризует пожароопасность топлива. Для дизельных топлив это достаточно важная характеристика. Температура застывания, которая характеризует низкотемпературные свойства. Ну и ряд других, которые уже специфичны для каждого продукта. Попозже мы их подробнее разберем. Да, забыл сказать, в нефтях также растворен углеводородный газ. Обычно там порядка 5%.","<|0.00|> температура вспышки, которая характеризует пожароопасность<|3.68|><|3.68|> топлива, скажем так.<|5.32|><|5.32|> Для дизельных топлив это достаточно важная характеристика.<|9.00|><|10.40|> Температура застывания, которая характеризует низкотемпературные<|13.06|><|13.06|> свойства.<|13.96|><|14.04|> Ну, и ряд других, которые уже специфичны для каждого продукта.<|18.84|><|19.00|> Попозже мы их подробнее разберем.<|21.08|><|21.92|> Да, забыл сказать, в нефтях также растворен углеводородный<|24.80|><|24.80|> газ.<|25.24|><|25.48|> Ну, вот обычно там порядка 5%.<|27.56|>",False
